feeder_violation_minutes,bus_violation_minutes,max_voltage,min_voltage,buses_exceeding_limit,avg_voltage_deviation,voltage_severity_score,total_reactive_energy_kvarh,peak_reactive_dispatch_kvar,active_control_timesteps,total_curtailed_energy_kwh,curtailed_energy_pct,avg_q_dispatch_kvar,avg_p_curtailment_kw,total_losses_kwh,avg_losses_kw,total_pv_generation_kwh,avg_pv_generation_kw,peak_pv_generation_kw,pv_scale,sweep_successful
0,0,1.0499038829177616,0.9614546775353731,0,0.007737293071077966,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1478.9748415216964,61.62395173007068,4260.225,177.509375,516.0,0.5,True
0,0,1.0499038829177616,0.9620680383766227,0,0.008432973374191079,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1340.9180580367438,55.87158575153099,8520.45,355.01875,1032.0,1.0,True
0,0,1.0499038829177616,0.9626831703549589,0,0.009676973404620324,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1255.3389449812107,52.30578937421712,12780.675000000003,532.5281250000002,1548.0,1.5,True
0,0,1.0499038829177616,0.9633000510316931,0,0.009977661211535312,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1226.604007919206,51.108500329966915,17040.9,710.0375,2064.0,2.0,True
0,0,1.0499038829177616,0.9636965753182685,0,0.0101185141682067,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1245.6536341575543,51.90223475656476,21301.125,887.546875,2580.0,2.5,True
0,0,1.0499038829177616,0.9636992792819014,0,0.011055541691499046,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1315.7029065123863,54.8209544380161,25561.350000000006,1065.0562500000003,3096.0,3.0,True
240,355,1.0599492050060828,0.9637019842943534,2,0.012094643083911524,0.0027386456247827365,0.0,0.0,0,0.0,0.0,0.0,0.0,1434.3518158706847,59.764658994611864,29821.574999999997,1242.565625,3612.0,3.5,True
355,825,1.0746746524646453,0.9637046903602942,3,0.01286971924724323,0.023286938227125027,0.0,0.0,0,0.0,0.0,0.0,0.0,1602.547661560011,66.77281923166713,34081.8,1420.075,4128.0,4.0,True
