step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,optimization_status,sensitivity_cache_hit
34,170,2.8333333333333335,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
35,175,2.9166666666666665,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
36,180,3.0,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
37,185,3.0833333333333335,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
38,190,3.1666666666666665,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
39,195,3.25,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
40,200,3.3333333333333335,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
41,205,3.4166666666666665,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
42,210,3.5,0.46,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
43,215,3.5833333333333335,0.46166666666666667,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
44,220,3.6666666666666665,0.4633333333333333,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
45,225,3.75,0.46499999999999997,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
46,230,3.8333333333333335,0.4666666666666667,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
47,235,3.9166666666666665,0.4683333333333333,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
