step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,overv_sourcebus,overv_650,overv_rg60,overv_633,overv_634,overv_671,overv_645,overv_646,overv_692,overv_675,overv_611,overv_652,overv_670,overv_632,overv_680,overv_684
113,565,9.416666666666666,0.9383333333333332,0.71,3663.6,0.999265949700867,1.0510608124783205,1.0112533223025681,675,611,1,1,0,118.33988433399077,heuristic,549.2966462340602,83.3254487036436,12,0.999997160889562,0.9999633930289192,1.041582400455751,1.0164755892080777,1.0042327600270298,1.0003367510497798,1.007450592158937,1.0065765698980162,1.0003367485025338,0.999265949700867,1.0510608124783205,0.9995263729459715,1.0105020115408556,1.0165741533970345,1.0008893613035716,1.0252825302558657
114,570,9.5,0.94,0.72,3715.2,0.9977944351159518,1.0532533091817493,1.0112659051456558,652,611,1,1,0,122.61540779676425,heuristic,562.1636977319162,94.72921448403888,12,0.9999962401069383,0.9999621189018933,1.0415810552708444,1.0163931166706714,1.0042087912218005,1.0001719191886287,1.0077125212449962,1.0068466833966399,1.0001719166679433,0.999099076926421,1.0532533091817493,0.9977944351159518,1.0103624842326469,1.0164627818821124,1.0007382002392766,1.0254998320819815
115,575,9.583333333333334,0.94,0.725,3741.0,0.9968864182515734,1.054389916681452,1.0112918269207416,652,611,1,1,0,124.64074133368642,heuristic,568.9340473583256,100.55664326403583,12,0.999995862234177,0.9999615929480951,1.0415805235894189,1.0163716117974493,1.0042266348670963,1.0001226121602096,1.0078861816046527,1.0070250433536918,1.0001226096545375,0.9990506654633546,1.054389916681452,0.9968864182515734,1.0103173935888135,1.0164269859161617,1.000695109688983,1.0256100689322007
116,580,9.666666666666666,0.94,0.73,3766.7999999999997,0.9958434295945835,1.05569990676688,1.011322319420744,652,611,1,1,0,127.01915286024632,heuristic,576.7154754361308,107.37636679130965,12,0.999995423404113,0.9999609824828403,1.0415799038797784,1.0163469219672592,1.0042474854095944,1.0000666910231486,1.0080863298493155,1.0072306295427627,1.000066688534895,0.9989957939855113,1.05569990676688,0.9958434295945835,1.0102656186702226,1.0163857258338727,1.0006464375945048,1.025739142192619
117,585,9.75,0.94,0.735,3792.6,0.9948489166648549,1.056962027379046,1.0113534843915288,652,611,1,1,0,129.3546006595442,heuristic,584.199441745583,114.06126345384484,12,0.9999950002065301,0.9999603938871822,1.041579305385936,1.016324010387042,1.004268701652154,1.000015216867537,1.0082785758598347,1.0074281426205731,1.0000152143961978,0.9989453607732498,1.056962027379046,0.9948489166648549,1.010216940016168,1.016346735551674,1.000602032733373,1.0258691758831082
120,600,10.0,0.94,0.75,3870.0,0.9979547237893265,1.0530403668377974,1.0112596452864318,652,611,1,1,0,122.23141819897344,heuristic,560.9535285430339,93.68426304574747,12,0.9999963086439151,0.9999622150778604,1.0415811464896763,1.0163961220917335,1.0042038372226603,1.0001798247275793,1.0076809446543833,1.0068141480456392,1.000179822203848,0.9991067515299948,1.0530403668377974,0.9979547237893265,1.0103699375073665,1.0164686562397185,1.0007448917274555,1.0254746277939548
131,655,10.916666666666666,0.9216666666666667,0.7883333333333333,4067.8,0.9999737791138831,1.0503653757756486,1.011860814759844,650,611,1,1,0,112.720789053514,heuristic,610.9471129668285,194.49080850306302,12,1.0000050029689536,0.9999737791138831,1.0395137569963915,1.0165763178982026,1.0049864367836394,1.0016833904444862,1.007511472968582,1.0067027266945217,1.001683388120151,1.000704777784853,1.0503653757756486,1.0033789605236483,1.0109536492973474,1.0165300539437372,1.0022495656852655,1.0269543811581947
132,660,11.0,0.92,0.79,4076.4,0.9999741284397574,1.0507745623550742,1.0119858795280599,650,611,1,1,0,112.9231230335572,heuristic,612.8939033847677,200.57568906764902,12,1.0000052719650374,0.9999741284397574,1.0395143016512651,1.0166683829410141,1.0051204582167674,1.001834430279689,1.0076168454936485,1.0068118610822063,1.0018344279679774,1.0008624878441326,1.0507745623550742,1.0034678437703797,1.0110613360154859,1.0166154698052388,1.0024014335478706,1.0272108310734125
133,665,11.083333333333334,0.9183333333333333,0.7916666666666667,4085.0000000000005,0.9999744681576507,1.0511476252392955,1.0121061304005572,650,611,1,1,0,113.12218903299106,heuristic,614.8306057210492,206.63883766641507,12,1.000005533325016,0.9999744681576507,1.0395148286016676,1.0167576179471842,1.0052505255196584,1.0019804838009796,1.007713553725973,1.0069122425919659,1.0019804815008728,1.0010144064260318,1.0511476252392955,1.0035757600761142,1.0111655813150937,1.01669824747321,1.0025482611064573,1.0274584696017461
134,670,11.166666666666666,0.9166666666666667,0.7933333333333333,4093.6,0.9999748049879346,1.0515175423701855,1.0122255734498662,650,611,1,1,0,113.3245421544478,heuristic,616.763591138165,212.70814115012945,12,1.0000057924440682,0.9999748049879346,1.0395153508447603,1.0168462684786845,1.0053799941515826,1.0021256673749666,1.0078091566522185,1.0070115174733414,1.0021256650864652,1.0011654556066736,1.0515175423701855,1.0036836329070902,1.0112690575019625,1.0167804427777778,1.002694218659045,1.0277046078811045
135,675,11.25,0.915,0.795,4102.2,0.999975137467116,1.051886931429771,1.012343682604459,650,611,1,1,0,113.5308308827677,heuristic,618.6906709505209,218.7736362449157,12,1.000006048252977,0.999975137467116,1.0395158667509765,1.0169340619265372,1.0055085409439923,1.0022692178599837,1.0079052502478025,1.0071112789415548,1.0022692155830752,1.0013148626505577,1.051886931429771,1.0037839172292857,1.0113714237702047,1.0168617937897972,1.002838544001372,1.0279468308263389
136,680,11.333333333333334,0.9133333333333333,0.7966666666666667,4110.8,0.9999754722363366,1.0522553210325751,1.0124622977310607,650,611,1,1,0,113.73659749056733,heuristic,620.6125301237552,224.83801065873828,12,1.0000063057490602,0.9999754722363366,1.0395163854040588,1.0170222171479977,1.0056374005967192,1.0024135182720235,1.008000956282402,1.0072106484745813,1.0024135160066892,1.0014650225699908,1.0522553210325751,1.0038880272731954,1.0114742975266786,1.016943524475299,1.002983610492569,1.0281905401567935
137,685,11.416666666666666,0.9116666666666667,0.7983333333333333,4119.4,0.9999758119280376,1.0526189738885503,1.012581940523194,650,611,1,1,0,113.93664450421488,heuristic,622.5291437637809,230.90115255336445,12,1.0000065669166702,0.9999758119280376,1.0395169104310054,1.0171111397924772,1.0057669713036304,1.0025593175656484,1.0080952802391483,1.0073086311255586,1.0025593153118655,1.0016166940342466,1.0526189738885503,1.0040036985316334,1.0115782128937685,1.0170260481554256,1.0031301582971501,1.0284373179562847
138,690,11.5,0.91,0.8,4128.0,0.999976150535168,1.0529818511483653,1.0127011560426356,650,611,1,1,0,114.13842675834356,heuristic,624.4403920984482,236.9619596367233,12,1.0000068272335194,0.999976150535168,1.0395174336036972,1.017199806468085,1.0058962309738178,1.0027046568600597,1.0081896557099728,1.0074066613069759,1.0027046546178129,1.0017679024499404,1.0529818511483653,1.0041174303684441,1.011681814897554,1.0171083306142379,1.0032762423555102,1.0286828475390115
139,695,11.583333333333334,0.9083333333333333,0.8,4128.0,0.9999764422383602,1.053117884179385,1.012764100361867,650,611,1,1,0,113.8951961282145,heuristic,625.3439574995464,238.40444589236972,12,1.0000070469332294,0.9999764422383602,1.0395178358864898,1.0172562861704633,1.005977382564602,1.0027974338832213,1.0082772094929429,1.0074959887099526,1.0027974316465011,1.001865348046792,1.053117884179385,1.004105617472806,1.01175083581147,1.0171637738272874,1.00336802177706,1.028751067149307
140,700,11.666666666666666,0.9066666666666667,0.8,4128.0,0.9999767580055622,1.0533372653603077,1.0128501229470248,650,611,1,1,0,113.81631064193813,heuristic,626.6337610966208,241.61594802786888,12,1.0000072867929173,0.9999767580055622,1.039518292950039,1.0173261509952563,1.0060780194963073,1.0029123698839846,1.008365995602001,1.0075872703117421,1.0029123676550884,1.001985429280418,1.0533372653603077,1.0041553635707496,1.0118344995030355,1.0172305626114164,1.00348261483684,1.0288917202967287
141,705,11.75,0.905,0.8,4128.0,0.9999770627389569,1.0535270771676153,1.0129269503849663,650,611,1,1,0,113.67851579151203,heuristic,627.7755832263732,244.14504350421012,12,1.000007517577291,0.9999770627389569,1.0395187266979893,1.0173906076980341,1.0061709164267578,1.0030182953641607,1.008454951424417,1.0076784470492413,1.0030182931422125,1.0020963120395636,1.0535270771676153,1.0041765906761018,1.0119121830656974,1.0172927189050287,1.0035879530421645,1.0290035531442299
142,710,11.833333333333334,0.9033333333333333,0.8,4128.0,0.9999773740334099,1.0537279597278153,1.01300793779366,650,611,1,1,0,113.55834270462353,heuristic,628.9747397610037,246.9342835944171,12,1.000007753647322,0.9999773740334099,1.0395191731366984,1.0174575701249007,1.0062672200928304,1.0031285008324609,1.0085436252971147,1.0077694499082637,1.0031284986178204,1.002211550856652,1.0537279597278153,1.0042127417800544,1.0119927242595512,1.0173570815868491,1.0036976640376194,1.0291281167591961
143,715,11.916666666666666,0.9016666666666667,0.8,4128.0,0.9999776891406714,1.0539273692715625,1.0130890780737578,650,611,1,1,0,113.42818828210314,heuristic,630.1519127407049,249.61919959862348,12,1.000007992647306,0.9999776891406714,1.0395196254756491,1.017524774022155,1.0063634178793028,1.0032394010964678,1.0086328086847174,1.007860923840714,1.003239398889099,1.0023274523334182,1.0539273692715625,1.0042488164960208,1.0120737514644997,1.0174217963202306,1.0038080366964046,1.029251994921905
144,720,12.0,0.9,0.8,4128.0,0.9999780078508377,1.0541279953626805,1.0131715536128316,650,611,1,1,0,113.29986188356872,heuristic,631.3378849411498,252.34123105809635,12,1.0000082344136787,0.9999780078508377,1.0395200833314042,1.0175928289868832,1.0064606058087135,1.003351870484466,1.0087215472861086,1.0079519698433597,1.0033518682844185,1.0024449401634203,1.0541279953626805,1.004291855643206,1.0121558381383993,1.0174873199205943,1.003919988239232,1.0293799040479055
145,725,12.083333333333334,0.8983333333333333,0.7983333333333333,4119.4,0.9999782832611127,1.0541049159213172,1.0131991078664953,650,611,1,1,0,112.72242725407338,heuristic,631.5170053771196,250.4422712423217,12,1.0000084384386627,0.9999782832611127,1.0395204269966645,1.0176295305432483,1.0065106039208624,1.003413398329345,1.0088038724035506,1.0080347278708675,1.0034133961306881,1.0025102821758096,1.0541049159213172,1.0042134737902009,1.0122044163756432,1.017526810517363,1.003979270865251,1.0293338783233366
146,730,12.166666666666666,0.8966666666666667,0.7966666666666667,4110.8,0.999978578406454,1.0541671387827145,1.0132486057400443,650,611,1,1,0,112.31735832840023,heuristic,632.0815001872925,250.3225234184317,12,1.0000086593009538,0.999978578406454,1.0395208188264615,1.0176788648287416,1.006579353111408,1.0034956366636916,1.0088882566936417,1.0081202690298676,1.0034956344687085,1.002596809491669,1.0541671387827145,1.0041871645554183,1.0122666422409916,1.01757688993145,1.0040599220377489,1.0293570534707888
147,735,12.25,0.895,0.795,4102.2,0.9999788674024376,1.0541953408776568,1.013289960432531,650,611,1,1,0,111.8471703010977,heuristic,632.4936414563808,249.52194877333025,12,1.0000088747608418,0.9999788674024376,1.0395211939866056,1.0177235946430563,1.0066411714151375,1.003570405999848,1.0089716365654566,1.0082045304261515,1.003570403807661,1.0026756979175344,1.0541953408776568,1.0041434005930059,1.0123239604772236,1.0176231571593497,1.00413284310811,1.0293542877804178
148,740,12.333333333333334,0.8933333333333333,0.7933333333333333,4093.6,0.9999791584497629,1.0542371856101278,1.0133344279456642,650,611,1,1,0,111.4045559051202,heuristic,632.9606685280439,248.98303378513216,12,1.0000090920577882,0.9999791584497629,1.0395215750819693,1.017770073986155,1.006705642998554,1.0036480355490018,1.0090555822112246,1.0082894649071426,1.003648033359948,1.0027575127012576,1.0542371856101278,1.0041053681526377,1.0123831443807654,1.0176708685480074,1.004208726630541,1.0293613825057442
149,745,12.416666666666666,0.8916666666666667,0.7916666666666667,4085.0000000000005,0.999979450947767,1.0542718418983106,1.013378308079234,650,611,1,1,0,110.94936726565697,heuristic,633.4029004404838,248.3454419137696,12,1.0000093103386438,0.999979450947767,1.0395219570078906,1.0178162938578887,1.0067695115100157,1.0037253777150787,1.0091386731294838,1.008373504515129,1.0037253755290287,1.0028390211024725,1.0542718418983106,1.0040712497451398,1.012442161204658,1.017718439675761,1.0042842813025559,1.0293664797879183
150,750,12.5,0.89,0.79,4076.4,0.9999797380435874,1.0543120954967378,1.013421319460897,650,611,1,1,0,110.5060797285555,heuristic,633.8507871650972,247.74611967675784,12,1.0000095245904956,0.9999797380435874,1.0395223319375413,1.0178618204529821,1.0068328242329807,1.003801336637949,1.0092231309287554,1.008458928225583,1.0038013344549568,1.0029191417727006,1.0543120954967378,1.0040258312254056,1.0125001965424139,1.0177652610504453,1.004358482490538,1.029369133291281
151,755,12.583333333333334,0.8883333333333333,0.7883333333333333,4067.8,0.9999800342036078,1.0543472107468619,1.0134665167380408,650,611,1,1,0,110.05259583187791,heuristic,634.2928691731429,247.1337792461971,12,1.000009745655171,0.9999800342036078,1.0395227191722078,1.0179088744212874,1.0068976170221187,1.0038802930425128,1.0093057027263688,1.0085424594593113,1.003880290862553,1.0030022767840012,1.0543472107468619,1.0039992795784205,1.012560286652801,1.0178136401059357,1.0044356592570505,1.029378178118443
152,760,12.666666666666666,0.8866666666666667,0.7866666666666667,4059.2000000000003,0.9999803213740707,1.0543872139342134,1.0135095951580464,650,611,1,1,0,109.61050507570327,heuristic,634.7332857948002,246.52686150250034,12,1.0000099599536219,0.9999803213740707,1.0395230941027462,1.0179544272362502,1.0069609315954213,1.003956364538065,1.0093901353414623,1.0086278559273694,1.003956362361152,1.003082507527438,1.0543872139342134,1.0039544952317692,1.01261837977029,1.0178604949374643,1.0045099743037726,1.029381004393636
153,765,12.75,0.885,0.785,4050.6000000000004,0.9999806148986017,1.054423179892061,1.0135542574445182,650,611,1,1,0,109.16144912679447,heuristic,635.1707634769635,245.91965418678515,12,1.0000101790411535,0.9999806148986017,1.0395234777979183,1.0180010847127476,1.007025346217697,1.0040345764392395,1.0094731136171629,1.008711797431469,1.0040345742653676,1.0031648938989577,1.054423179892061,1.0039239806309141,1.0126779418764091,1.0179084659797593,1.0045864174624892,1.0293884749503437
154,770,12.833333333333334,0.8833333333333333,0.7833333333333333,4042.0,0.9999809052555965,1.0544626562615604,1.013598299737669,650,611,1,1,0,108.71903445141884,heuristic,635.6056027306481,245.31367760576086,12,1.0000103957372228,0.9999809052555965,1.0395238570848144,1.0180472637309759,1.007089293404696,1.0041119115664097,1.0095570647032055,1.0087967131989057,1.0041119093955826,1.003246393614398,1.0544626562615604,1.003885476710717,1.012736875238969,1.017955948576028,1.0046619953913172,1.0293941359323049
155,775,12.916666666666666,0.8816666666666667,0.7816666666666667,4033.4000000000005,0.999981199006258,1.054498870812359,1.0136431727700161,650,611,1,1,0,108.27211364547207,heuristic,636.0376242461157,244.70787724018427,12,1.0000106149946635,0.999981199006258,1.0395242410870813,1.0180940254866495,1.0071538197298138,1.0041903724652028,1.0096400170860402,1.0088806304252065,1.0041903702974173,1.0033290288211403,1.054498870812359,1.0038560372047278,1.012796583535576,1.0180040204718752,1.004738692448037,1.0294022404482108
156,780,13.0,0.88,0.78,4024.8,0.9999814866639526,1.054539128674806,1.013686641577131,650,611,1,1,0,107.83389313445029,heuristic,636.467006157405,244.1032963620608,12,1.0000108296610675,0.9999814866639526,1.039524616699234,1.0181397807445929,1.0072173488509233,1.0042669215276934,1.0097243811152408,1.008965961378701,1.004266919362956,1.0034097371756454,1.054539128674806,1.0038134108930148,1.0128549600352548,1.0180510720264124,1.0048134939371378,1.0294062164874624
157,785,13.083333333333334,0.88,0.775,3999.0,0.9999813976701796,1.053821492740083,1.0135313643707162,650,611,1,1,0,106.46694082991819,heuristic,633.2665483412169,230.52210516454988,12,1.0000107462504397,0.9999813976701796,1.039524319612377,1.0180529266857177,1.0070825293500603,1.0041290623878856,1.0096924897055297,1.0089283772734996,1.0041290602051367,1.0032683496295114,1.053821492740083,1.0035530235587466,1.0127644208260482,1.0179803906984322,1.004670354822617,1.028912888515197
158,790,13.166666666666666,0.88,0.77,3973.2000000000003,0.99998133231309,1.0533732804924756,1.0134312425610488,650,611,1,1,0,105.62784964772322,heuristic,631.3411969401479,222.28856262620542,12,1.0000106862877327,0.99998133231309,1.0395241152205748,1.0179967652595157,1.0069961413131392,1.004039555307267,1.0096741503186626,1.0089064476861465,1.004039553113179,1.003176598712545,1.0533732804924756,1.0033685100098673,1.0127054954695438,1.0179343974671236,1.0045775462925057,1.0285953057134123
159,795,13.25,0.88,0.765,3947.4,0.9999812679279669,1.0528028612557756,1.013311682580893,650,611,1,1,0,104.57645306865143,heuristic,628.7999212130089,211.91771720017394,12,1.000010624712705,0.9999812679279669,1.039523887120284,1.0179302900683715,1.006892337822279,1.0039346081723923,1.0096462974742755,1.008874170462326,1.0039346059643053,1.00306893865491,1.0528028612557756,1.0031858036527341,1.0126365484424458,1.0178804973096416,1.0044684944183413,1.0282156878355342
160,800,13.333333333333334,0.88,0.76,3921.6,0.9999812101578303,1.052266076515338,1.0132005887613236,650,611,1,1,0,103.60120652182435,heuristic,626.4093974156443,202.34863340787297,12,1.0000105689236634,0.9999812101578303,1.0395236766523943,1.0178692787922832,1.006798936078648,1.0038374702466897,1.0096205706802819,1.0088443236068516,1.0038374680255693,1.0029692825924383,1.052266076515338,1.0030182169439983,1.0125729375707306,1.0178309096792348,1.0043675369128728,1.0278609568023525
