step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,optimization_status,sensitivity_cache_hit,overv_sourcebus,overv_650,overv_rg60,overv_633,overv_634,overv_671,overv_645,overv_646,overv_692,overv_675,overv_611,overv_652,overv_670,overv_632,overv_680,overv_684
12,60,1.0,0.5,0.0,0.0,1.0000491271507859,1.0354226485877356,1.0163428687929266,650,rg60,0,0,0,24.907430845170833,optimization,0,0,0,no action needed,False,1.0000590888485963,1.0000491271507859,1.0354226485877356,1.0227558762486006,1.0126679682497386,1.019277013695641,1.0225701980886412,1.0216214543731144,1.0192770107886855,1.0190256479631188,1.0089315350511119,1.005585766680039,1.0221272367424021,1.0239991814477971,1.0192770277103058,1.0088391190605124
13,65,1.0833333333333333,0.49666666666666665,0.0,0.0,1.0000498340153303,1.035423798370137,1.0165417222514193,650,rg60,0,0,0,24.559619833454597,optimization,0,0,0,no action needed,False,1.0000596381597362,1.0000498340153303,1.035423798370137,1.0229131718463826,1.0128948751102695,1.0195258616592153,1.022728515263186,1.0217859532676123,1.019525858772433,1.0192862725645304,1.0093744065747248,1.005907464858845,1.022311571405319,1.0241479019915276,1.019525875677107,1.009206556486353
14,70,1.1666666666666667,0.49333333333333335,0.0,0.0,1.0000505403359727,1.0354249473951973,1.016740465250419,650,rg60,0,0,0,24.214991972725073,optimization,0,0,0,no action needed,False,1.0000601870600037,1.0000505403359727,1.0354249473951973,1.0230703707957864,1.0131216510853471,1.019774566041157,1.0228867579518184,1.0219503796636376,1.0197745631745354,1.0195467450214126,1.0098170405488764,1.0062290029759617,1.0224957928900087,1.0242965300368514,1.0197745800622744,1.0095737889678644
15,75,1.25,0.49,0.0,0.0,1.000051246112855,1.035426095662728,1.0169390976697192,650,rg60,0,0,0,23.87354446792055,optimization,0,0,0,no action needed,False,1.0000607355494706,1.000051246112855,1.035426095662728,1.0232274732107376,1.0133482963460692,1.0200231270373619,1.0230449262393837,1.0221147336435028,1.0200231241908888,1.0198070655448912,1.0102594343585862,1.0065503813617505,1.022679901335387,1.0244450656907191,1.0200231410617022,1.0099408153694744
16,80,1.3333333333333333,0.48666666666666664,0.0,0.0,1.0000519513484314,1.035427243177408,1.0171376203633544,650,rg60,0,0,0,23.53527095342296,optimization,0,0,0,no action needed,False,1.000061283630108,1.0000519513484314,1.035427243177408,1.0233844795747549,1.0135748114374137,1.0202715454913605,1.0232030202044389,1.022279015284659,1.020271542665024,1.0200672349992896,1.0107015910884727,1.0068716022535047,1.022863897352555,1.0245935094296137,1.0202715595189227,1.0103076383577145
17,85,1.4166666666666667,0.48333333333333334,0.0,0.0,1.000052656040925,1.035428389934798,1.0173360325665375,650,rg60,0,0,0,23.200170720415638,optimization,0,0,0,no action needed,False,1.00006183130039,1.000052656040925,1.035428389934798,1.0235413894706749,1.0138011959924291,1.0205198205729495,1.0233610402351976,1.022443224974685,1.0205198177667374,1.020327252567638,1.0111435094406673,1.0071926616628282,1.0230477803816036,1.0247418608300383,1.0205198346037316,1.010674255289308
18,90,1.5,0.48,0.0,0.0,1.0000533601934658,1.035429535941044,1.017534335329806,650,rg60,0,0,0,22.86823664526919,optimization,0,0,0,no action needed,False,1.000062378562847,1.0000533601934658,1.035429535941044,1.0236982035382884,1.014027450713192,1.0207679534180565,1.0235189867844512,1.0226073631655286,1.0207679506319567,1.020587119407816,1.0115851934309665,1.007513561262893,1.0232315512368493,1.0248901205245498,1.0207679674520567,1.011040669012936
19,95,1.5833333333333333,0.47833333333333333,0.0,0.0,1.000053712072873,1.0354301086712254,1.0176334474103435,650,rg60,0,0,0,22.70345663410115,optimization,0,0,0,no action needed,False,1.000062652045469,1.000053712072873,1.0354301086712254,1.0237765758489565,1.0141405310794591,1.0208919686231344,1.0235979344681834,1.0226894074132609,1.0208919658470863,1.0207169985827733,1.0118059547635252,1.0076739504148968,1.0233233961022246,1.0249642171406876,1.0208919826587428,1.011223802832996
20,100,1.6666666666666667,0.4766666666666666,0.0,0.0,1.0000540638108635,1.0354306812028706,1.0177325300145197,650,rg60,0,0,0,22.539467602185358,optimization,0,0,0,no action needed,False,1.0000629254211133,1.0000540638108635,1.0354306812028706,1.0238549228889353,1.0142535772230372,1.021015945957697,1.023676861426071,1.0227714314285392,1.021015943191697,1.020846837613755,1.0120266465637513,1.0078343013228532,1.023415211286398,1.0250382895668577,1.0210159599949133,1.0114068813329617
21,105,1.75,0.475,0.0,0.0,1.0000544154138507,1.035431253546399,1.0178315852897342,650,rg60,0,0,0,22.37626849810825,optimization,0,0,0,no action needed,False,1.0000631986947617,1.0000544154138507,1.035431253546399,1.0239332459405286,1.014366590904924,1.0211398876483995,1.0237557695802284,1.0228534371346965,1.0211398848924451,1.0209766388858423,1.0122472795566162,1.007994613701188,1.0235069983784004,1.0251123390320933,1.0211399016872234,1.0115899096381469
