,feeder_violation_minutes,bus_violation_minutes,max_voltage,min_voltage,buses_exceeding_limit,avg_voltage_deviation,voltage_severity_score,total_reactive_energy_kvarh,peak_reactive_dispatch_kvar,active_control_timesteps,total_curtailed_energy_kwh,curtailed_energy_pct,avg_q_dispatch_kvar,avg_p_curtailment_kw,total_losses_kwh,total_pv_generation_kwh,avg_pv_generation_kw,peak_pv_generation_kw
baseline,355,825,1.0747,0.9637,3,0.0129,0.0233,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,1602.5477,34081.8000,1420.0750,4128.0000
heuristic,205,205,1.0570,0.9637,1,0.0106,0.0005,4030.0695,636.4670,287,970.2766,2.7681,167.9196,40.4282,1604.3474,34081.8000,1420.0750,4128.0000
optimization,0,0,1.0499,0.9637,0,0.0111,0.0000,104.4815,54.9860,37,1.2236,0.0036,4.3534,0.0510,1245.9982,34081.8000,1420.0750,4128.0000
