feeder_violation_minutes,bus_violation_minutes,max_voltage,min_voltage,buses_exceeding_limit,avg_voltage_deviation,voltage_severity_score,total_reactive_energy_kvarh,peak_reactive_dispatch_kvar,active_control_timesteps,total_curtailed_energy_kwh,curtailed_energy_pct,avg_q_dispatch_kvar,avg_p_curtailment_kw,total_losses_kwh,avg_losses_kw,total_pv_generation_kwh,avg_pv_generation_kw,peak_pv_generation_kw,pv_scale,sweep_successful
0,0,1.0499038857689544,0.961451986297228,0,0.007737348904903538,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,1478.974836657991,61.6239515274163,4260.225,177.509375,516.0,0.5,True
0,0,1.0499038857689544,0.9620627164688902,0,0.008433219502723934,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,1340.917697859411,55.87157074414213,8520.45,355.01875,1032.0,1.0,True
0,0,1.0499038857689544,0.9626752784112642,0,0.009677185631535854,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,1255.3386268734914,52.30577611972881,12780.675000000003,532.5281250000002,1548.0,1.5,True
0,0,1.0499038857689544,0.9632896494997749,0,0.009977908223280822,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,1226.6036812264388,51.10848671776829,17040.9,710.0375,2064.0,2.0,True
0,0,1.0499038857689544,0.9636965826307403,0,0.010042682959102121,0.0,86.15700671675798,53.49495210434591,287,0.0,0.0,3.589875279864916,0.0,1249.2640682217582,52.05266950923993,21301.125,887.546875,2580.0,2.5,True
0,0,1.0499038857689544,0.9636966580015247,0,0.01012955970314441,0.0,1258.3057962033731,335.4713242698291,287,9.301430028137641,0.036375412857940645,52.42940817514055,0.38755958450573513,1341.2525234656287,55.88552181106786,25561.350000000006,1065.0562500000003,3096.0,3.0,True
95,95,1.0557358545357143,0.9636967333773807,1,0.010435412354115936,0.000180845073438869,2688.707082673436,509.67450752282286,287,353.7993169701673,1.1724769782597064,112.02946177805985,14.741638207090306,1498.599983596012,62.44166598316716,29821.574999999997,1242.565625,3612.0,3.5,True
205,205,1.056962027379046,0.9636968087584272,1,0.010621730846475845,0.0005134565852826357,4030.069504226344,636.467006157405,287,970.2766275376698,2.768100269344383,167.91956267609768,40.428192814069575,1604.347371517219,66.84780714655079,34081.8,1420.075,4128.0,4.0,True
