,feeder_violation_minutes,bus_violation_minutes,max_voltage,min_voltage,buses_exceeding_limit,avg_voltage_deviation,voltage_severity_score,total_reactive_energy_kvarh,peak_reactive_dispatch_kvar,active_control_timesteps,total_curtailed_energy_kwh,curtailed_energy_pct,avg_q_dispatch_kvar,avg_p_curtailment_kw,total_losses_kwh,avg_losses_kw,total_pv_generation_kwh,avg_pv_generation_kw,peak_pv_generation_kw
heuristic_improvement_pct,-42.2535,-75.1515,-1.6482,-0.0008,-66.6667,-17.4673,-97.7951,inf,inf,inf,inf,inf,inf,inf,0.1123,0.1123,0.0000,0.0000,0.0000
optimization_improvement_pct,-100.0000,-100.0000,-2.3050,-0.0008,-100.0000,-13.8232,-100.0000,inf,inf,inf,inf,inf,inf,inf,-22.2489,-22.2489,0.0000,0.0000,0.0000
