step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,overv_sourcebus,overv_650,overv_rg60,overv_633,overv_634,overv_671,overv_645,overv_646,overv_692,overv_675,overv_611,overv_652,overv_670,overv_632,overv_680,overv_684
12,60,1.0,0.5,0.0,0.0,1.0000491242018696,1.035422643776651,1.0163419621212122,650,rg60,0,0,0,24.907438673900092,baseline,0,0,0,1.0000590865560723,1.0000491242018696,1.035422643776651,1.0227552541555516,1.0126670700048972,1.019275950591269,1.022569521842486,1.0216207779693227,1.0192759476841908,1.0190245053754108,1.0089282598923952,1.0055850577964995,1.0221264801026055,1.0239985922802877,1.019275964605922,1.008837157103963
13,65,1.0833333333333333,0.49666666666666665,0.0,0.0,1.0000498311102337,1.0354237936296133,1.0165408287548408,650,rg60,0,0,0,24.559627372854592,baseline,0,0,0,1.0000596359011924,1.0000498311102337,1.0354237936296133,1.0229125588952535,1.0128939899765657,1.019524814078806,1.022727848330963,1.021785286179997,1.0195248111919029,1.0192851466499426,1.0093711770810339,1.0059067684048832,1.0223108258685991,1.0241473214933106,1.0195248280966867,1.0092046231884688
14,70,1.1666666666666667,0.49333333333333335,0.0,0.0,1.000050537474299,1.0354249427246127,1.0167395848147707,650,rg60,0,0,0,24.214999233448452,baseline,0,0,0,1.000060184835134,1.000050537474299,1.0354249427246127,1.023069766905844,1.013120778948905,1.0197735338491445,1.0228861002619545,1.0219497218206142,1.0197735309824036,1.0195456356344277,1.009813856353742,1.0062283188088903,1.022495058358449,1.024295958131114,1.0197735478702503,1.0095718840765433
15,75,1.25,0.49,0.0,0.0,1.0000512432942195,1.0354260910614805,1.0169382301853653,650,rg60,0,0,0,23.873551452793812,baseline,0,0,0,1.000060733357978,1.0000512432942195,1.0354260910614805,1.0232268783035499,1.0133474370957574,1.0200221101027453,1.023044277726373,1.022114084979564,1.020022107256155,1.0198059725449966,1.0102562951278697,1.006549709327991,1.0226791777141744,1.024444502302922,1.0200221241270748,1.009938938642994
16,80,1.3333333333333333,0.48666666666666664,0.0,0.0,1.0000519485724357,1.035427238644874,1.0171367657157917,650,rg60,0,0,0,23.535277670361722,baseline,0,0,0,1.0000612814716854,1.0000519485724357,1.035427238644874,1.023383893569253,1.0135739649588171,1.0202705436780464,1.023202380796133,1.0222783757276463,1.020270540851594,1.0200661582404396,1.0106984964559382,1.0068709422101665,1.0228631845433973,1.0245929544826378,1.0202705577055975,1.010305789544006
17,85,1.4166666666666667,0.48333333333333334,0.0,0.0,1.0000526533071963,1.0354283854703947,1.0173351906496593,650,rg60,0,0,0,23.200177187205423,baseline,0,0,0,1.0000618291747498,1.0000526533071963,1.0354283854703947,1.0235408122905791,1.013800362177803,1.0205188337536528,1.0233604098623847,1.0224425944553825,1.0205188309473265,1.02032619191353,1.011140459075173,1.007192013478867,1.0230470782922687,1.0247413142513384,1.020518847784424,1.0106724341594757
18,90,1.5,0.48,0.0,0.0,1.0000533575016066,1.035429531544147,1.0175335060291455,650,rg60,0,0,0,22.868242856426605,baseline,0,0,0,1.0000623764696825,1.0000533575016066,1.035429531544147,1.0236976351025138,1.0140266294481421,1.0207669814566176,1.0235183653735074,1.022606741610301,1.0207669786704054,1.0205860747123843,1.0115821869641848,1.0075129248000152,1.0232308597690098,1.0248895822369841,1.0207669954906071,1.011038875316218
19,95,1.5833333333333333,0.47833333333333333,0.0,0.0,1.0000537107377412,1.0354301064901952,1.0176330360174044,650,rg60,0,0,0,22.70345967673934,baseline,0,0,0,1.0000626510072628,1.0000537107377412,1.0354301064901952,1.0237762938863073,1.0141401236834857,1.0208914864773204,1.0235976260478956,1.022689098921382,1.0208914837012164,1.0207164803547883,1.0118044628199792,1.0076736353021174,1.0233230531083441,1.024963950135233,1.0208915005129235,1.0112229130922765
20,100,1.6666666666666667,0.4766666666666666,0.0,0.0,1.0000540624861076,1.0354306790385746,1.017732121750357,650,rg60,0,0,0,22.539470586077176,baseline,0,0,0,1.0000629243909558,1.0000540624861076,1.0354306790385746,1.023854643094116,1.0142531729376838,1.0210154674963416,1.0236765552429405,1.0227711251743743,1.0210154647302865,1.0208463233429792,1.0120251655428374,1.0078339890649675,1.0234148709261215,1.0250380246169828,1.021015481533553,1.0114059983868884
21,105,1.75,0.475,0.0,0.0,1.0000544140993919,1.0354312513987123,1.017831180130501,650,rg60,0,0,0,22.376271416511837,baseline,0,0,0,1.0000631976725918,1.0000544140993919,1.0354312513987123,1.0239329682971157,1.0143661897078529,1.0211394128432867,1.0237554656084353,1.0228531330924164,1.0211394100872775,1.0209761285421928,1.012245809355753,1.0079943043067172,1.0235066606314807,1.025112076122042,1.0211394268821057,1.011589033440642
